epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,41960.9,0.88052,0.42045,0.90019,0.42329,0.29666,0.32301,0.19493,1.7295,1.678,1.29255,0.0052084,0.0052084,0.0052084
123,42206.5,0.8809,0.42031,0.89856,0.42492,0.29662,0.32322,0.19532,1.72879,1.68016,1.29217,0.0051688,0.0051688,0.0051688
124,42452.1,0.87857,0.4192,0.89849,0.42511,0.29626,0.32327,0.19542,1.72923,1.68162,1.29239,0.0051292,0.0051292,0.0051292
125,42697.9,0.87805,0.41858,0.89841,0.42678,0.29621,0.32339,0.19549,1.73054,1.68516,1.29285,0.0050896,0.0050896,0.0050896
126,42943.5,0.87852,0.41892,0.89811,0.42689,0.29601,0.3235,0.1955,1.73249,1.68893,1.2936,0.00505,0.00505,0.00505
127,43189.1,0.87734,0.41898,0.89803,0.42884,0.29643,0.32405,0.19595,1.7333,1.69304,1.29379,0.0050104,0.0050104,0.0050104
128,43434.8,0.87354,0.4168,0.89679,0.43007,0.29588,0.32462,0.19645,1.734,1.69648,1.29415,0.0049708,0.0049708,0.0049708
129,43680.5,0.87388,0.41614,0.89653,0.43085,0.29601,0.32524,0.19689,1.73439,1.69724,1.29421,0.0049312,0.0049312,0.0049312
130,43926.1,0.87354,0.41661,0.89664,0.43211,0.29577,0.32559,0.19724,1.73545,1.70029,1.29459,0.0048916,0.0048916,0.0048916
131,44171.7,0.87333,0.4171,0.89663,0.43333,0.29605,0.32594,0.19758,1.73613,1.70403,1.29479,0.004852,0.004852,0.004852
132,44417,0.86962,0.41484,0.89641,0.43479,0.29562,0.32628,0.1979,1.73727,1.70739,1.29523,0.0048124,0.0048124,0.0048124
133,44662.7,0.87109,0.41499,0.89596,0.43567,0.29491,0.3266,0.19819,1.73832,1.71036,1.29566,0.0047728,0.0047728,0.0047728
134,44907.6,0.8674,0.41332,0.89561,0.43527,0.29382,0.32615,0.19798,1.73919,1.71321,1.29601,0.0047332,0.0047332,0.0047332
135,45153.4,0.87063,0.41408,0.89538,0.43595,0.29316,0.32564,0.19774,1.73899,1.71635,1.29579,0.0046936,0.0046936,0.0046936
136,45399.1,0.8662,0.41312,0.89575,0.43599,0.2916,0.32555,0.19787,1.74001,1.72081,1.29646,0.004654,0.004654,0.004654
137,45644.5,0.8667,0.41259,0.89432,0.4372,0.2912,0.32584,0.1982,1.74067,1.72378,1.29669,0.0046144,0.0046144,0.0046144
138,45889.8,0.86541,0.4121,0.89505,0.43788,0.29088,0.32634,0.19856,1.74162,1.72583,1.29714,0.0045748,0.0045748,0.0045748
139,46135,0.86389,0.41157,0.89507,0.43849,0.29094,0.3264,0.19857,1.74294,1.72703,1.29796,0.0045352,0.0045352,0.0045352
140,46380.5,0.86273,0.41146,0.89444,0.44044,0.2913,0.32689,0.19893,1.74405,1.73057,1.29854,0.0044956,0.0044956,0.0044956
141,46625.9,0.86508,0.41206,0.89492,0.44194,0.29137,0.32764,0.19949,1.74416,1.73145,1.2986,0.004456,0.004456,0.004456
